Количество ушей,Наличие носа,Цвет глаз,Длина головы,Длина туловища,Длина ног,Является красивым?
3,0,Бордовый,16,20,50,0
1,1,Жёлтый,17,31,42,1
2,1,Оранжевый,18,40,45,1
5,0,Белый,15,31,49,0
0,0,Белый,15,33,47,1
3,0,Салатовый,15,35,40,0
4,0,Оранжевый,16,38,44,0
5,1,Жёлтый,20,20,50,1
3,1,Оранжевый,20,35,49,1
3,1,Жёлтый,20,26,43,1
3,0,Бордовый,19,23,42,0
1,0,Белый,16,40,43,0
3,1,Бордовый,19,22,48,0
1,0,Оранжевый,17,39,45,1
4,0,Оранжевый,16,39,43,0
1,0,Оранжевый,15,33,49,0
2,0,Бордовый,17,36,46,0
5,0,Салатовый,18,32,40,0
5,1,Оранжевый,18,26,48,0
2,1,Белый,18,24,50,0
0,1,Салатовый,20,26,45,0
2,0,Салатовый,15,25,42,0
0,1,Салатовый,20,25,48,0
3,0,Бордовый,17,39,45,1
5,0,Жёлтый,20,38,47,1
4,0,Салатовый,19,24,40,0
1,1,Оранжевый,19,23,46,0
3,0,Салатовый,15,34,48,0
5,1,Салатовый,16,21,47,0
1,1,Салатовый,19,27,42,0
3,0,Бордовый,18,29,42,0
3,1,Бордовый,20,25,44,0
4,1,Бордовый,17,27,42,0
0,0,Оранжевый,17,28,49,1
5,0,Жёлтый,15,30,40,1
1,0,Оранжевый,18,30,45,0
4,0,Бордовый,15,20,50,0
4,0,Жёлтый,15,25,45,1
1,1,Салатовый,18,34,47,0
1,1,Оранжевый,18,21,50,0
0,0,Жёлтый,15,36,41,1
1,1,Салатовый,19,24,41,0
3,1,Салатовый,20,26,41,0
5,1,Бордовый,19,22,46,0
3,1,Белый,19,23,41,0
4,1,Салатовый,16,24,41,0
2,1,Бордовый,16,31,42,0
0,1,Жёлтый,16,28,49,1
3,0,Салатовый,19,39,46,1
1,1,Салатовый,20,31,47,0
4,0,Белый,20,34,46,0
3,0,Белый,17,30,42,0
5,0,Салатовый,16,33,48,0
0,1,Жёлтый,17,24,48,1
3,0,Жёлтый,20,31,41,1
5,0,Оранжевый,20,24,50,0
5,1,Бордовый,19,24,40,0
3,0,Жёлтый,18,40,50,1
4,1,Бордовый,18,28,47,0
1,0,Жёлтый,18,28,48,1
5,0,Оранжевый,17,25,50,0
5,0,Бордовый,18,40,43,1
0,1,Белый,16,40,44,0
2,0,Белый,15,32,41,0
1,0,Жёлтый,15,34,50,1
4,0,Жёлтый,19,34,43,1
5,1,Оранжевый,16,30,45,0
2,0,Бордовый,19,31,50,0
4,1,Белый,15,39,45,0
5,0,Салатовый,20,31,48,0
4,0,Бордовый,15,29,47,0
1,0,Жёлтый,16,40,45,1
4,0,Оранжевый,19,20,47,0
4,1,Жёлтый,17,38,43,1
5,1,Салатовый,19,23,49,0
2,0,Жёлтый,19,32,48,1
3,0,Жёлтый,18,22,40,1
1,1,Оранжевый,19,25,43,0
4,0,Жёлтый,20,36,48,1
0,1,Оранжевый,17,24,44,0
2,1,Белый,16,21,48,0
4,1,Белый,19,20,44,0
2,1,Жёлтый,20,35,40,1
0,1,Бордовый,18,28,44,0
1,0,Жёлтый,20,29,46,1
0,0,Салатовый,18,32,41,1
0,0,Оранжевый,16,28,42,1
3,0,Белый,18,33,47,0
5,0,Белый,15,38,40,0
0,1,Бордовый,15,21,42,0
1,1,Бордовый,16,22,45,0
1,0,Белый,18,29,47,0
1,0,Бордовый,16,35,40,0
4,1,Бордовый,19,25,42,0
0,0,Бордовый,19,24,46,1
1,0,Оранжевый,16,20,46,0
4,1,Бордовый,15,35,45,0
5,0,Бордовый,17,29,48,0
2,1,Жёлтый,16,28,41,1
3,0,Бордовый,19,32,47,0
2,0,Жёлтый,19,29,46,1
5,0,Бордовый,18,39,42,0
0,1,Жёлтый,17,22,47,1
1,0,Бордовый,15,27,43,0
0,1,Салатовый,17,20,42,0
0,0,Бордовый,20,30,44,1
2,0,Белый,19,33,42,0
0,1,Салатовый,19,30,47,0
4,1,Жёлтый,16,22,44,1
3,0,Бордовый,20,33,47,0
2,0,Белый,18,34,48,0
1,1,Бордовый,19,39,41,0
0,0,Бордовый,15,20,47,1
0,1,Бордовый,16,28,46,0
0,1,Салатовый,20,39,49,1
2,1,Оранжевый,16,21,43,0
3,1,Белый,15,20,43,0
0,0,Белый,15,34,46,1
3,0,Жёлтый,20,34,50,1
1,0,Салатовый,15,35,44,0
5,0,Бордовый,15,25,42,0
4,1,Бордовый,19,23,49,0
2,0,Салатовый,19,33,45,0
3,0,Бордовый,16,22,40,0
2,0,Салатовый,17,37,44,0
0,1,Жёлтый,16,38,44,1
5,0,Жёлтый,20,38,47,1
4,0,Оранжевый,17,25,45,0
4,0,Оранжевый,20,29,43,0
3,0,Жёлтый,15,38,48,1
3,1,Бордовый,15,20,50,0
0,0,Салатовый,18,22,50,1
3,0,Оранжевый,19,30,49,0
1,0,Салатовый,20,33,48,1
2,1,Жёлтый,20,27,46,1
2,0,Жёлтый,15,23,44,1
2,0,Оранжевый,15,23,46,0
2,0,Жёлтый,17,35,41,1
4,1,Салатовый,20,39,46,1
5,0,Оранжевый,19,23,41,0
0,0,Бордовый,16,23,47,1
5,0,Бордовый,16,30,50,0
4,1,Белый,17,27,48,0
0,1,Белый,17,35,41,0
3,0,Оранжевый,19,34,41,0
3,0,Салатовый,20,30,46,0
3,0,Салатовый,17,38,44,0
4,0,Оранжевый,16,26,45,0
5,0,Оранжевый,15,26,50,0
4,1,Салатовый,15,21,49,0
5,0,Салатовый,19,34,50,1
4,0,Салатовый,15,24,40,0
3,1,Оранжевый,18,31,41,0
4,1,Жёлтый,15,28,50,1
1,1,Салатовый,16,25,47,0
1,0,Жёлтый,15,34,48,1
4,0,Салатовый,15,32,41,0
5,1,Салатовый,15,36,48,0
5,1,Белый,17,25,44,0
1,0,Салатовый,15,25,44,0
4,0,Бордовый,19,35,42,0
3,1,Бордовый,20,22,42,0
1,1,Салатовый,18,38,47,1
2,1,Жёлтый,18,22,47,1
1,0,Белый,15,35,49,0
1,0,Бордовый,16,39,48,1
1,1,Жёлтый,19,37,44,1
4,0,Белый,17,26,50,0
2,1,Жёлтый,15,27,41,1
0,1,Оранжевый,20,20,41,0
3,0,Белый,15,31,42,0
4,0,Белый,15,37,46,0
2,0,Белый,19,23,45,0
5,0,Бордовый,16,32,45,0
2,0,Оранжевый,20,24,43,0
0,1,Бордовый,15,34,45,0
1,0,Бордовый,17,26,50,0
3,0,Белый,15,26,48,0
0,1,Салатовый,18,25,48,0
4,0,Белый,18,25,48,0
5,1,Оранжевый,18,25,41,0
5,0,Оранжевый,19,32,47,0
4,1,Салатовый,18,23,50,0
4,1,Бордовый,17,33,44,0
5,0,Оранжевый,16,33,50,0
5,1,Жёлтый,20,28,40,1
2,1,Бордовый,18,24,50,0
5,1,Белый,19,23,45,0
0,1,Белый,20,27,45,0
4,0,Белый,17,33,41,0
1,0,Оранжевый,18,32,43,0
2,0,Салатовый,19,35,43,0
1,1,Оранжевый,17,24,46,0
2,1,Белый,17,34,41,0
0,0,Жёлтый,19,26,48,1
5,0,Оранжевый,17,36,46,0
1,1,Салатовый,16,39,46,1
3,0,Жёлтый,17,29,43,1
0,1,Жёлтый,15,25,49,1
5,1,Белый,16,30,41,0
4,1,Бордовый,17,34,41,0
3,1,Оранжевый,18,36,45,0
0,0,Бордовый,20,37,48,1
0,0,Белый,20,24,48,1
4,0,Жёлтый,19,24,40,1
2,1,Салатовый,15,37,40,0
1,0,Оранжевый,20,20,45,0
1,1,Жёлтый,17,30,40,1
2,0,Белый,16,34,50,0
4,1,Бордовый,15,35,47,0
0,0,Жёлтый,20,28,47,1
5,1,Бордовый,16,40,44,0
2,0,Бордовый,18,22,50,0
2,0,Бордовый,19,20,43,0
3,0,Жёлтый,18,35,41,1
5,0,Жёлтый,16,25,42,1
2,1,Жёлтый,20,34,49,1
1,1,Бордовый,17,37,50,1
1,1,Жёлтый,20,21,45,1
1,0,Салатовый,20,40,43,1
1,0,Белый,18,31,40,0
0,0,Бордовый,16,37,49,1
3,1,Салатовый,16,22,49,0
1,0,Салатовый,15,38,49,1
5,0,Бордовый,15,21,46,0
1,0,Салатовый,19,31,48,0
1,0,Белый,16,36,43,0
