Дата,Месяц,Год,Наименование товара,Модель,Вид операции,Город,Магазин,Цвет,Финансовый баланс  (тугрики)
18,Октябрь,2017,Электрический звонок,IZvon 9,Продажа,Барабинск,Электромаг,Розовый,1000
18,Октябрь,2017,Портативная атомная станция,1,Продажа,Барабинск,Электромаг,Розовый,500
22,Октябрь,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Розовый,1200
25,Октябрь,2017,Портативная атомная станция,1,Продажа,Барабинск,Электромаг,Розовый,500
26,Октябрь,2017,Портативная атомная станция,1,Продажа,Владивосток,Океан электроники,Черный,500
27,Октябрь,2017,Печатная машинка,Super pro,Продажа,Барабинск,Электромаг,Розовый,500
29,Октябрь,2017,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Черный,500
29,Октябрь,2017,Печатная машинка,Super pro,Продажа,Сан-Франциско,Океан электроники,Розовый,500
1,Сентябрь,2017,Электрический звонок,IZvon 10,Возврат,Переяславль,Лебедушка,Розовый,-1200
1,Сентябрь,2017,Наногазонокосилка,Agressor 300,Возврат,Владивосток,Океан электроники,Черный,-1050
1,Сентябрь,2017,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Черный,500
8,Сентябрь,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Белый,1200
13,Сентябрь,2017,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Розовый,500
20,Сентябрь,2017,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Белый,1000
22,Сентябрь,2017,Утюг,Lastochka,Продажа,Сан-Франциско,Океан электроники,Розовый,200
22,Сентябрь,2017,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Черный,500
25,Сентябрь,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Розовый,1200
1,Февраль,2017,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Черный,1200
4,Февраль,2017,Печатная машинка,Super pro,Продажа,Москва,ЦУМ,Розовый,500
6,Февраль,2017,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Розовый,500
10,Февраль,2017,Утюг,Lastochka,Возврат,Москва,ЦУМ,Черный,-200
14,Февраль,2017,Наногазонокосилка,Agressor 300,Возврат,Москва,ЦУМ,Черный,-1050
14,Февраль,2017,Наногазонокосилка,Agressor 300,Возврат,Барабинск,Электромаг,Черный,-1050
15,Февраль,2017,Электрический звонок,IZvon 9,Возврат,Москва,ЦУМ,Розовый,-1000
19,Февраль,2017,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Черный,1000
25,Февраль,2017,Портативная атомная станция,100500,Возврат,Москва,ЦУМ,Розовый,-500
26,Февраль,2017,Портативная атомная станция,100500,Продажа,Владивосток,Океан электроники,Черный,500
28,Февраль,2017,Наногазонокосилка,Agressor 300,Возврат,Владивосток,Океан электроники,Розовый,-1050
1,Январь,2017,Электрический звонок,IZvon 9,Продажа,Москва,ЦУМ,Розовый,1000
4,Январь,2017,Портативная атомная станция,100500,Продажа,Москва,ЦУМ,Розовый,500
4,Январь,2017,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Розовый,500
22,Январь,2017,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
24,Январь,2017,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Белый,500
27,Январь,2017,Утюг,Lastochka,Возврат,Барабинск,Электромаг,Черный,-200
1,Август,2018,Электрический звонок,IZvon 11,Продажа,Переяславль,Лебедушка,Розовый,1200
1,Август,2018,Утюг,Lastochka,Возврат,Владивосток,Океан электроники,Розовый,-200
1,Август,2018,Электрический звонок,IZvon 9,Возврат,Барабинск,Электромаг,Розовый,-1000
1,Август,2018,Портативная атомная станция,100500,Продажа,Москва,ЦУМ,Розовый,500
1,Август,2018,Электрический звонок,IZvon 9,Продажа,Москва,ЦУМ,Черный,1000
1,Август,2018,Портативная атомная станция,100500,Продажа,Сан-Франциско,Океан электроники,Белый,500
2,Август,2018,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Розовый,200
2,Август,2018,Портативная атомная станция,1,Возврат,Барабинск,Электромаг,Черный,-500
2,Август,2018,Портативная атомная станция,100500,Возврат,Барабинск,Электромаг,Черный,-500
4,Август,2018,Электрический звонок,IZvon 9,Продажа,Сан-Франциско,Океан электроники,Розовый,1000
5,Август,2018,Электрический звонок,IZvon 11,Продажа,Переяславль,Лебедушка,Розовый,1200
5,Август,2018,Портативная атомная станция,100500,Продажа,Сан-Франциско,Океан электроники,Белый,500
5,Август,2018,Портативная атомная станция,100500,Продажа,Сан-Франциско,Океан электроники,Белый,500
5,Август,2018,Наногазонокосилка,Agressor 300,Возврат,Барабинск,Электромаг,Розовый,-1050
5,Август,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Черный,200
6,Август,2018,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Черный,1000
6,Август,2018,Печатная машинка,Super pro,Продажа,Владивосток,Океан электроники,Белый,500
9,Август,2018,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Белый,200
10,Август,2018,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Черный,1200
12,Август,2018,Утюг,Lastochka,Возврат,Сан-Франциско,Океан электроники,Розовый,-200
13,Август,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Черный,200
14,Август,2018,Портативная атомная станция,1,Продажа,Сан-Франциско,Океан электроники,Розовый,500
15,Август,2018,Портативная атомная станция,1,Продажа,Владивосток,Океан электроники,Розовый,500
16,Август,2018,Электрический звонок,IZvon 11,Продажа,Переяславль,Лебедушка,Розовый,1200
16,Август,2018,Портативная атомная станция,1,Продажа,Москва,ЦУМ,Белый,500
17,Август,2018,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Черный,500
17,Август,2018,Наногазонокосилка,Agressor 300,Возврат,Владивосток,Океан электроники,Белый,-1050
18,Август,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Черный,200
20,Август,2018,Портативная атомная станция,100500,Продажа,Москва,ЦУМ,Белый,500
21,Август,2018,Утюг,Lastochka,Возврат,Москва,ЦУМ,Розовый,-200
21,Август,2018,Портативная атомная станция,1,Продажа,Барабинск,Электромаг,Розовый,500
21,Август,2018,Наногазонокосилка,Agressor 300,Возврат,Сан-Франциско,Океан электроники,Розовый,-1050
22,Август,2018,Наногазонокосилка,Agressor 300,Возврат,Сан-Франциско,Океан электроники,Розовый,-1050
22,Август,2018,Утюг,Lastochka,Продажа,Сан-Франциско,Океан электроники,Розовый,200
22,Август,2018,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Черный,200
23,Август,2018,Электрический звонок,IZvon 11,Продажа,Переяславль,Лебедушка,Черный,1200
23,Август,2018,Электрический звонок,IZvon 9,Продажа,Владивосток,Океан электроники,Белый,1000
25,Август,2018,Наногазонокосилка,Agressor 300,Возврат,Владивосток,Океан электроники,Розовый,-1050
26,Август,2018,Портативная атомная станция,100500,Продажа,Владивосток,Океан электроники,Розовый,500
26,Август,2018,Утюг,Lastochka,Продажа,Сан-Франциско,Океан электроники,Черный,200
27,Август,2018,Электрический звонок,IZvon 9,Продажа,Переяславль,1000 мелочей,Белый,1000
28,Август,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Черный,200
29,Август,2018,Утюг,Lastochka,Продажа,Москва,ЦУМ,Черный,200
29,Август,2018,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Розовый,200
29,Август,2018,Портативная атомная станция,100500,Продажа,Москва,ЦУМ,Розовый,500
1,Апрель,2018,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Розовый,200
1,Апрель,2018,Наногазонокосилка,Agressor 300,Продажа,Владивосток,Океан электроники,Розовый,1050
1,Апрель,2018,Утюг,Lastochka,Продажа,Москва,ЦУМ,Черный,200
1,Апрель,2018,Портативная атомная станция,100500,Возврат,Барабинск,Электромаг,Розовый,-500
3,Апрель,2018,Наногазонокосилка,Agressor 300,Возврат,Москва,ЦУМ,Белый,-1050
4,Апрель,2018,Наногазонокосилка,Agressor 300,Возврат,Барабинск,Электромаг,Белый,-1050
11,Апрель,2018,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Розовый,500
14,Апрель,2018,Портативная атомная станция,100500,Продажа,Владивосток,Океан электроники,Розовый,500
14,Апрель,2018,Портативная атомная станция,100500,Продажа,Москва,ЦУМ,Розовый,500
16,Апрель,2018,Наногазонокосилка,Agressor 300,Возврат,Барабинск,Электромаг,Розовый,-1050
16,Апрель,2018,Печатная машинка,Super pro,Продажа,Москва,ЦУМ,Белый,500
22,Апрель,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
25,Апрель,2018,Наногазонокосилка,Agressor 300,Продажа,Владивосток,Океан электроники,Розовый,1050
27,Апрель,2018,Электрический звонок,IZvon 11,Продажа,Переяславль,Лебедушка,Розовый,1200
1,Декабрь,2018,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Черный,1200
1,Декабрь,2018,Утюг,Lastochka,Продажа,Москва,ЦУМ,Розовый,200
4,Декабрь,2018,Электрический звонок,IZvon 10,Возврат,Переяславль,1000 мелочей,Белый,-1200
5,Декабрь,2018,Портативная атомная станция,100500,Продажа,Сан-Франциско,Океан электроники,Белый,500
5,Декабрь,2018,Портативная атомная станция,100500,Продажа,Сан-Франциско,Океан электроники,Розовый,500
6,Декабрь,2018,Портативная атомная станция,100500,Возврат,Барабинск,Электромаг,Черный,-500
6,Декабрь,2018,Наногазонокосилка,Agressor 300,Возврат,Сан-Франциско,Океан электроники,Розовый,-1050
7,Декабрь,2018,Утюг,Lastochka,Продажа,Сан-Франциско,Океан электроники,Черный,200
7,Декабрь,2018,Утюг,Lastochka,Продажа,Москва,ЦУМ,Розовый,200
7,Декабрь,2018,Утюг,Lastochka,Продажа,Москва,ЦУМ,Белый,200
8,Декабрь,2018,Портативная атомная станция,100500,Продажа,Сан-Франциско,Океан электроники,Розовый,500
9,Декабрь,2018,Электрический звонок,IZvon 11,Продажа,Переяславль,1000 мелочей,Белый,1200
9,Декабрь,2018,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Черный,500
9,Декабрь,2018,Портативная атомная станция,100500,Продажа,Сан-Франциско,Океан электроники,Белый,500
10,Декабрь,2018,Электрический звонок,IZvon 11,Продажа,Переяславль,Лебедушка,Черный,1200
10,Декабрь,2018,Электрический звонок,IZvon 11,Возврат,Переяславль,Лебедушка,Розовый,-1200
10,Декабрь,2018,Электрический звонок,IZvon 11,Продажа,Переяславль,Лебедушка,Розовый,1200
10,Декабрь,2018,Портативная атомная станция,100500,Возврат,Барабинск,Электромаг,Розовый,-500
10,Декабрь,2018,Портативная атомная станция,1,Возврат,Барабинск,Электромаг,Розовый,-500
11,Декабрь,2018,Электрический звонок,IZvon 10,Возврат,Переяславль,Лебедушка,Белый,-1200
11,Декабрь,2018,Электрический звонок,IZvon 9,Продажа,Владивосток,Океан электроники,Белый,1000
11,Декабрь,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Белый,200
13,Декабрь,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
13,Декабрь,2018,Наногазонокосилка,Agressor 300,Возврат,Владивосток,Океан электроники,Розовый,-1050
13,Декабрь,2018,Электрический звонок,IZvon 9,Продажа,Владивосток,Океан электроники,Розовый,1000
13,Декабрь,2018,Портативная атомная станция,100500,Возврат,Владивосток,Океан электроники,Розовый,-500
14,Декабрь,2018,Электрический звонок,IZvon 11,Продажа,Переяславль,Лебедушка,Розовый,1200
14,Декабрь,2018,Наногазонокосилка,Agressor 300,Возврат,Барабинск,Электромаг,Белый,-1050
14,Декабрь,2018,Печатная машинка,Super pro,Продажа,Владивосток,Океан электроники,Розовый,500
15,Декабрь,2018,Наногазонокосилка,Agressor 300,Возврат,Владивосток,Океан электроники,Розовый,-1050
15,Декабрь,2018,Печатная машинка,Super pro,Возврат,Москва,ЦУМ,Розовый,-500
16,Декабрь,2018,Электрический звонок,IZvon 9,Продажа,Москва,ЦУМ,Розовый,1000
16,Декабрь,2018,Портативная атомная станция,1,Продажа,Барабинск,Электромаг,Розовый,500
17,Декабрь,2018,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Розовый,500
18,Декабрь,2018,Портативная атомная станция,1,Продажа,Сан-Франциско,Океан электроники,Черный,500
18,Декабрь,2018,Печатная машинка,Super pro,Продажа,Барабинск,Электромаг,Белый,500
18,Декабрь,2018,Утюг,Lastochka,Возврат,Сан-Франциско,Океан электроники,Розовый,-200
18,Декабрь,2018,Наногазонокосилка,Agressor 300,Возврат,Москва,ЦУМ,Розовый,-1050
19,Декабрь,2018,Портативная атомная станция,100500,Продажа,Сан-Франциско,Океан электроники,Розовый,500
19,Декабрь,2018,Наногазонокосилка,Agressor 300,Возврат,Сан-Франциско,Океан электроники,Белый,-1050
20,Декабрь,2018,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Черный,500
20,Декабрь,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Черный,200
20,Декабрь,2018,Наногазонокосилка,Agressor 300,Возврат,Владивосток,Океан электроники,Розовый,-1050
21,Декабрь,2018,Наногазонокосилка,Agressor 300,Продажа,Москва,ЦУМ,Черный,1050
22,Декабрь,2018,Электрический звонок,IZvon 11,Продажа,Переяславль,Лебедушка,Черный,1200
22,Декабрь,2018,Портативная атомная станция,1,Продажа,Владивосток,Океан электроники,Белый,500
22,Декабрь,2018,Портативная атомная станция,1,Продажа,Сан-Франциско,Океан электроники,Черный,500
22,Декабрь,2018,Утюг,Lastochka,Продажа,Москва,ЦУМ,Розовый,200
23,Декабрь,2018,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Розовый,200
24,Декабрь,2018,Электрический звонок,IZvon 9,Продажа,Переяславль,1000 мелочей,Розовый,1000
24,Декабрь,2018,Портативная атомная станция,1,Продажа,Барабинск,Электромаг,Черный,500
24,Декабрь,2018,Портативная атомная станция,100500,Продажа,Сан-Франциско,Океан электроники,Розовый,500
25,Декабрь,2018,Наногазонокосилка,Agressor 300,Возврат,Владивосток,Океан электроники,Черный,-1050
25,Декабрь,2018,Наногазонокосилка,Agressor 300,Возврат,Барабинск,Электромаг,Розовый,-1050
25,Декабрь,2018,Портативная атомная станция,100500,Продажа,Москва,ЦУМ,Розовый,500
26,Декабрь,2018,Электрический звонок,IZvon 10,Продажа,Переяславль,1000 мелочей,Розовый,1200
26,Декабрь,2018,Наногазонокосилка,Agressor 300,Возврат,Владивосток,Океан электроники,Розовый,-1050
26,Декабрь,2018,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Розовый,200
26,Декабрь,2018,Утюг,Lastochka,Возврат,Сан-Франциско,Океан электроники,Черный,-200
27,Декабрь,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Черный,200
28,Декабрь,2018,Электрический звонок,IZvon 11,Продажа,Переяславль,Лебедушка,Розовый,1200
28,Декабрь,2018,Портативная атомная станция,100500,Продажа,Владивосток,Океан электроники,Розовый,500
29,Декабрь,2018,Утюг,Lastochka,Возврат,Сан-Франциско,Океан электроники,Черный,-200
1,Июль,2018,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Розовый,1000
1,Июль,2018,Портативная атомная станция,1,Продажа,Барабинск,Электромаг,Розовый,500
1,Июль,2018,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Розовый,500
6,Июль,2018,Портативная атомная станция,100500,Продажа,Владивосток,Океан электроники,Розовый,500
7,Июль,2018,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Розовый,1200
7,Июль,2018,Наногазонокосилка,Agressor 300,Продажа,Сан-Франциско,Океан электроники,Розовый,1050
9,Июль,2018,Портативная атомная станция,1,Продажа,Барабинск,Электромаг,Белый,500
10,Июль,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
13,Июль,2018,Электрический звонок,IZvon 11,Продажа,Переяславль,Лебедушка,Черный,1200
16,Июль,2018,Портативная атомная станция,1,Продажа,Сан-Франциско,Океан электроники,Розовый,500
16,Июль,2018,Наногазонокосилка,Agressor 300,Продажа,Сан-Франциско,Океан электроники,Розовый,1050
20,Июль,2018,Утюг,Lastochka,Возврат,Сан-Франциско,Океан электроники,Розовый,-200
23,Июль,2018,Утюг,Lastochka,Продажа,Москва,ЦУМ,Белый,200
29,Июль,2018,Утюг,Lastochka,Продажа,Москва,ЦУМ,Белый,200
1,Июнь,2018,Электрический звонок,IZvon 9,Возврат,Барабинск,Электромаг,Розовый,-1000
9,Июнь,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
11,Июнь,2018,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Черный,200
12,Июнь,2018,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Черный,1000
15,Июнь,2018,Портативная атомная станция,1,Продажа,Барабинск,Электромаг,Черный,500
20,Июнь,2018,Электрический звонок,IZvon 9,Продажа,Барабинск,Электромаг,Черный,1000
23,Июнь,2018,Наногазонокосилка,Agressor 300,Возврат,Барабинск,Электромаг,Белый,-1050
24,Июнь,2018,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Черный,500
28,Июнь,2018,Электрический звонок,IZvon 11,Продажа,Переяславль,1000 мелочей,Белый,1200
29,Июнь,2018,Наногазонокосилка,Agressor 300,Возврат,Барабинск,Электромаг,Черный,-1050
1,Май,2018,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Розовый,500
1,Май,2018,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Розовый,200
1,Май,2018,Портативная атомная станция,1,Продажа,Барабинск,Электромаг,Розовый,500
14,Май,2018,Электрический звонок,IZvon 11,Продажа,Переяславль,Лебедушка,Черный,1200
15,Май,2018,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Черный,1200
20,Май,2018,Наногазонокосилка,Agressor 300,Продажа,Барабинск,Электромаг,Розовый,1050
1,Март,2018,Утюг,Lastochka,Продажа,Москва,ЦУМ,Розовый,200
1,Март,2018,Утюг,Lastochka,Возврат,Барабинск,Электромаг,Черный,-200
1,Март,2018,Утюг,Lastochka,Возврат,Сан-Франциско,Океан электроники,Розовый,-200
1,Март,2018,Утюг,Lastochka,Продажа,Сан-Франциско,Океан электроники,Черный,200
1,Март,2018,Утюг,Lastochka,Продажа,Сан-Франциско,Океан электроники,Розовый,200
2,Март,2018,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Розовый,1200
3,Март,2018,Электрический звонок,IZvon 10,Продажа,Переяславль,1000 мелочей,Розовый,1200
3,Март,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
3,Март,2018,Утюг,Lastochka,Продажа,Москва,ЦУМ,Черный,200
4,Март,2018,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Черный,200
4,Март,2018,Утюг,Lastochka,Продажа,Москва,ЦУМ,Белый,200
4,Март,2018,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Черный,200
4,Март,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
5,Март,2018,Утюг,Lastochka,Продажа,Сан-Франциско,Океан электроники,Черный,200
6,Март,2018,Электрический звонок,IZvon 10,Продажа,Переяславль,1000 мелочей,Розовый,1200
6,Март,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Черный,200
6,Март,2018,Утюг,Lastochka,Возврат,Владивосток,Океан электроники,Белый,-200
7,Март,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
7,Март,2018,Утюг,Lastochka,Возврат,Барабинск,Электромаг,Черный,-200
8,Март,2018,Утюг,Lastochka,Продажа,Сан-Франциско,Океан электроники,Розовый,200
8,Март,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
8,Март,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
9,Март,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Белый,200
9,Март,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
9,Март,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Черный,200
10,Март,2018,Утюг,Lastochka,Продажа,Москва,ЦУМ,Розовый,200
11,Март,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Черный,200
11,Март,2018,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Черный,200
11,Март,2018,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Розовый,200
11,Март,2018,Утюг,Lastochka,Продажа,Сан-Франциско,Океан электроники,Черный,200
13,Март,2018,Электрический звонок,IZvon 10,Продажа,Переяславль,1000 мелочей,Розовый,1200
13,Март,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
13,Март,2018,Утюг,Lastochka,Продажа,Москва,ЦУМ,Белый,200
13,Март,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
13,Март,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
14,Март,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
14,Март,2018,Утюг,Lastochka,Возврат,Барабинск,Электромаг,Розовый,-200
15,Март,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
15,Март,2018,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Розовый,200
15,Март,2018,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Розовый,200
16,Март,2018,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Черный,200
17,Март,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
18,Март,2018,Электрический звонок,IZvon 10,Продажа,Переяславль,1000 мелочей,Черный,1200
18,Март,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Белый,200
18,Март,2018,Утюг,Lastochka,Продажа,Москва,ЦУМ,Розовый,200
19,Март,2018,Электрический звонок,IZvon 9,Продажа,Переяславль,Лебедушка,Черный,1000
20,Март,2018,Утюг,Lastochka,Продажа,Москва,ЦУМ,Розовый,200
20,Март,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
21,Март,2018,Утюг,Lastochka,Продажа,Москва,ЦУМ,Розовый,200
22,Март,2018,Электрический звонок,IZvon 11,Продажа,Переяславль,Лебедушка,Черный,1200
22,Март,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
23,Март,2018,Электрический звонок,IZvon 11,Продажа,Переяславль,1000 мелочей,Розовый,1200
23,Март,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
23,Март,2018,Утюг,Lastochka,Возврат,Москва,ЦУМ,Белый,-200
25,Март,2018,Утюг,Lastochka,Продажа,Москва,ЦУМ,Белый,200
26,Март,2018,Электрический звонок,IZvon 10,Продажа,Переяславль,Лебедушка,Розовый,1200
27,Март,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
28,Март,2018,Электрический звонок,IZvon 11,Продажа,Переяславль,Лебедушка,Розовый,1200
28,Март,2018,Утюг,Lastochka,Продажа,Сан-Франциско,Океан электроники,Розовый,200
28,Март,2018,Утюг,Lastochka,Возврат,Владивосток,Океан электроники,Розовый,-200
29,Март,2018,Утюг,Lastochka,Возврат,Москва,ЦУМ,Розовый,-200
8,Ноябрь,2018,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Черный,200
8,Ноябрь,2018,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Розовый,500
12,Ноябрь,2018,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Розовый,200
14,Ноябрь,2018,Портативная атомная станция,1,Продажа,Сан-Франциско,Океан электроники,Черный,500
16,Ноябрь,2018,Портативная атомная станция,100500,Продажа,Сан-Франциско,Океан электроники,Розовый,500
16,Ноябрь,2018,Утюг,Lastochka,Продажа,Владивосток,Океан электроники,Розовый,200
19,Ноябрь,2018,Утюг,Lastochka,Продажа,Москва,ЦУМ,Черный,200
21,Ноябрь,2018,Наногазонокосилка,Agressor 300,Продажа,Барабинск,Электромаг,Черный,1050
25,Ноябрь,2018,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Черный,500
27,Ноябрь,2018,Утюг,Lastochka,Продажа,Москва,ЦУМ,Черный,200
29,Ноябрь,2018,Портативная атомная станция,100500,Продажа,Сан-Франциско,Океан электроники,Черный,500
29,Ноябрь,2018,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Розовый,500
1,Октябрь,2018,Утюг,Lastochka,Продажа,Москва,ЦУМ,Черный,200
1,Октябрь,2018,Печатная машинка,Super pro,Продажа,Барабинск,Электромаг,Черный,500
1,Октябрь,2018,Портативная атомная станция,100500,Продажа,Владивосток,Океан электроники,Розовый,500
2,Октябрь,2018,Портативная атомная станция,100500,Продажа,Владивосток,Океан электроники,Розовый,500
5,Октябрь,2018,Портативная атомная станция,1,Продажа,Барабинск,Электромаг,Белый,500
9,Октябрь,2018,Утюг,Lastochka,Возврат,Барабинск,Электромаг,Розовый,-200
10,Октябрь,2018,Утюг,Lastochka,Продажа,Москва,ЦУМ,Розовый,200
10,Октябрь,2018,Портативная атомная станция,1,Продажа,Барабинск,Электромаг,Розовый,500
12,Октябрь,2018,Портативная атомная станция,1,Продажа,Барабинск,Электромаг,Белый,500
17,Октябрь,2018,Электрический звонок,IZvon 11,Продажа,Переяславль,Лебедушка,Розовый,1200
19,Октябрь,2018,Портативная атомная станция,100500,Продажа,Владивосток,Океан электроники,Черный,500
21,Октябрь,2018,Электрический звонок,IZvon 11,Продажа,Переяславль,Лебедушка,Розовый,1200
24,Октябрь,2018,Наногазонокосилка,Agressor 300,Возврат,Москва,ЦУМ,Розовый,-1050
24,Октябрь,2018,Электрический звонок,IZvon 9,Продажа,Барабинск,Электромаг,Черный,1000
25,Октябрь,2018,Электрический звонок,IZvon 11,Продажа,Переяславль,Лебедушка,Розовый,1200
25,Октябрь,2018,Печатная машинка,Super pro,Продажа,Владивосток,Океан электроники,Розовый,500
25,Октябрь,2018,Утюг,Lastochka,Продажа,Москва,ЦУМ,Розовый,200
26,Октябрь,2018,Наногазонокосилка,Agressor 300,Возврат,Владивосток,Океан электроники,Розовый,-1050
26,Октябрь,2018,Портативная атомная станция,100500,Возврат,Барабинск,Электромаг,Розовый,-500
26,Октябрь,2018,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Черный,500
1,Сентябрь,2018,Наногазонокосилка,Agressor 300,Возврат,Барабинск,Электромаг,Розовый,-1050
2,Сентябрь,2018,Портативная атомная станция,1,Продажа,Владивосток,Океан электроники,Черный,500
5,Сентябрь,2018,Портативная атомная станция,100500,Возврат,Барабинск,Электромаг,Розовый,-500
9,Сентябрь,2018,Утюг,Lastochka,Возврат,Сан-Франциско,Океан электроники,Розовый,-200
10,Сентябрь,2018,Портативная атомная станция,100500,Продажа,Владивосток,Океан электроники,Белый,500
10,Сентябрь,2018,Портативная атомная станция,1,Продажа,Сан-Франциско,Океан электроники,Белый,500
13,Сентябрь,2018,Утюг,Lastochka,Продажа,Сан-Франциско,Океан электроники,Черный,200
13,Сентябрь,2018,Наногазонокосилка,Agressor 300,Возврат,Барабинск,Электромаг,Розовый,-1050
13,Сентябрь,2018,Утюг,Lastochka,Продажа,Барабинск,Электромаг,Розовый,200
15,Сентябрь,2018,Портативная атомная станция,100500,Продажа,Барабинск,Электромаг,Розовый,500
16,Сентябрь,2018,Портативная атомная станция,1,Продажа,Сан-Франциско,Океан электроники,Черный,500
17,Сентябрь,2018,Утюг,Lastochka,Продажа,Москва,ЦУМ,Черный,200
20,Сентябрь,2018,Портативная атомная станция,100500,Продажа,Москва,ЦУМ,Розовый,500
