День обнаружения,Месяц обнаружения,Год,Число лепестков,Длина стебля,Цвет лепестков,Наличие пестика
22,Май,2016,17,289,Синий,0
27,Май,2012,15,225,Синий,0
8,Июль,2011,3,9,Синий,0
1,Январь,2012,8,64,Желтый,1
19,Май,2010,7,49,Синий,0
1,Июнь,2012,8,64,Синий,1
21,Май,2017,11,121,Синий,0
28,Июнь,2010,6,36,Синий,1
18,Июнь,2011,3,9,Синий,0
2,Июнь,2011,4,16,Синий,1
19,Июнь,2016,12,144,Синий,1
16,Июнь,2017,12,144,Синий,1
16,Июль,2011,14,196,Синий,1
14,Август,2012,2,4,Синий,1
19,Август,2011,11,121,Синий,0
26,Июнь,2017,14,196,Синий,1
18,Июль,2011,2,4,Синий,1
24,Май,2012,10,100,Синий,1
14,Январь,2010,10,100,Желтый,1
22,Август,2010,4,16,Синий,1
13,Май,2017,5,25,Синий,0
5,Август,2016,16,256,Синий,1
24,Май,2010,3,9,Синий,0
8,Июнь,2010,13,169,Синий,0
16,Январь,2011,12,144,Желтый,1
16,Июнь,2012,11,121,Синий,0
19,Январь,2012,16,256,Желтый,1
1,Январь,2011,2,4,Желтый,1
8,Май,2016,17,289,Синий,0
10,Июнь,2011,6,36,Синий,1
26,Июль,2012,4,16,Синий,1
15,Июль,2017,15,225,Синий,0
4,Июль,2010,4,16,Синий,1
3,Июль,2011,14,196,Синий,1
17,Август,2012,8,64,Синий,1
3,Июнь,2011,16,256,Синий,1
24,Июль,2012,16,256,Синий,1
24,Июнь,2012,16,256,Синий,1
15,Май,2012,11,121,Синий,0
25,Май,2016,13,169,Синий,0
8,Май,2016,6,36,Синий,1
23,Июнь,2011,13,169,Синий,0
12,Июль,2011,11,121,Синий,0
4,Июль,2016,16,256,Синий,1
22,Август,2012,4,16,Синий,1
12,Июль,2011,6,36,Синий,1
12,Май,2012,16,256,Синий,1
15,Май,2011,13,169,Синий,0
16,Август,2010,16,256,Синий,1
12,Август,2017,3,9,Синий,0
5,Июль,2010,16,256,Синий,1
22,Июль,2012,3,9,Синий,0
11,Январь,2010,2,4,Желтый,1
24,Июль,2010,15,225,Синий,0
20,Июль,2017,16,256,Синий,1
3,Май,2011,17,289,Синий,0
25,Июнь,2017,13,169,Синий,0
5,Июнь,2011,14,196,Синий,1
26,Июль,2012,12,144,Синий,1
2,Июль,2011,17,289,Синий,0
7,Август,2012,5,25,Синий,0
9,Январь,2010,12,144,Желтый,1
13,Июнь,2016,4,16,Синий,1
4,Май,2011,8,64,Синий,1
18,Август,2010,15,225,Синий,0
4,Июль,2016,6,36,Синий,1
18,Июнь,2016,6,36,Синий,1
3,Январь,2016,8,64,Желтый,1
23,Июнь,2012,16,256,Синий,1
7,Май,2010,2,4,Синий,1
21,Май,2012,11,121,Синий,0
17,Январь,2011,9,81,Желтый,0
12,Январь,2012,10,100,Желтый,1
12,Август,2012,13,169,Синий,0
22,Январь,2010,10,100,Желтый,1
7,Январь,2011,6,36,Желтый,1
23,Июнь,2011,16,256,Синий,1
23,Июль,2016,15,225,Синий,0
24,Июнь,2012,14,196,Синий,1
10,Август,2012,8,64,Синий,1
23,Июнь,2012,14,196,Синий,1
6,Январь,2011,17,289,Желтый,0
25,Январь,2016,14,196,Желтый,1
18,Июнь,2011,10,100,Синий,1
15,Май,2016,2,4,Синий,1
26,Май,2016,14,196,Синий,1
20,Июль,2012,11,121,Синий,0
21,Июнь,2011,4,16,Синий,1
10,Июнь,2017,10,100,Синий,1
21,Август,2011,9,81,Синий,0
4,Июль,2012,15,225,Синий,0
17,Январь,2012,14,196,Желтый,1
5,Август,2017,11,121,Синий,0
24,Январь,2017,12,144,Желтый,1
21,Июнь,2017,13,169,Синий,0
15,Май,2011,14,196,Синий,1
9,Май,2011,8,64,Синий,1
22,Май,2010,9,81,Синий,0
12,Июль,2017,15,225,Синий,0
14,Август,2016,5,25,Синий,0
17,Июль,2012,5,25,Синий,0
8,Январь,2012,2,4,Желтый,1
22,Июль,2010,15,225,Синий,0
3,Август,2011,13,169,Синий,0
18,Январь,2017,16,256,Желтый,1
4,Май,2010,12,144,Синий,1
3,Январь,2011,11,121,Желтый,0
18,Июль,2017,15,225,Синий,0
19,Июнь,2011,4,16,Синий,1
16,Январь,2016,17,289,Желтый,0
7,Май,2010,15,225,Синий,0
25,Август,2011,8,64,Синий,1
5,Июнь,2011,16,256,Синий,1
1,Май,2017,7,49,Синий,0
22,Январь,2011,10,100,Желтый,1
9,Июнь,2010,10,100,Синий,1
25,Июль,2010,17,289,Синий,0
24,Январь,2017,2,4,Желтый,1
13,Июнь,2010,2,4,Синий,1
28,Август,2016,14,196,Синий,1
6,Август,2011,9,81,Синий,0
20,Июль,2010,17,289,Синий,0
28,Июль,2011,10,100,Синий,1
20,Июнь,2012,7,49,Синий,0
8,Июль,2012,3,9,Синий,0
27,Июнь,2012,16,256,Синий,1
16,Январь,2016,17,289,Желтый,0
13,Май,2012,12,144,Синий,1
16,Май,2011,13,169,Синий,0
17,Август,2011,15,225,Синий,0
1,Август,2012,2,4,Синий,1
15,Август,2011,8,64,Синий,1
25,Май,2016,16,256,Синий,1
28,Август,2012,15,225,Синий,0
18,Июнь,2011,12,144,Синий,1
8,Июнь,2010,11,121,Синий,0
3,Январь,2016,8,64,Желтый,1
16,Май,2012,15,225,Синий,0
27,Август,2011,17,289,Синий,0
21,Август,2011,7,49,Синий,0
22,Август,2016,8,64,Синий,1
20,Июль,2010,3,9,Синий,0
8,Август,2012,5,25,Синий,0
10,Июль,2011,14,196,Синий,1
13,Январь,2016,4,16,Желтый,1
9,Июль,2017,6,36,Синий,1
3,Январь,2012,11,121,Желтый,0
3,Август,2016,2,4,Синий,1
25,Январь,2011,16,256,Желтый,1
24,Август,2011,4,16,Синий,1
26,Июль,2010,14,196,Синий,1
5,Август,2012,16,256,Синий,1
28,Август,2010,4,16,Синий,1
7,Январь,2012,14,196,Желтый,1
8,Август,2010,8,64,Синий,1
5,Май,2017,9,81,Синий,0
4,Август,2010,12,144,Синий,1
7,Июнь,2017,5,25,Синий,0
17,Май,2010,2,4,Синий,1
18,Май,2016,6,36,Синий,1
14,Июнь,2012,17,289,Синий,0
16,Июль,2012,4,16,Синий,1
26,Август,2011,5,25,Синий,0
25,Январь,2016,15,225,Желтый,0
4,Август,2012,15,225,Синий,0
26,Май,2012,13,169,Синий,0
15,Май,2011,9,81,Синий,0
2,Январь,2011,8,64,Желтый,1
8,Май,2016,10,100,Синий,1
5,Июль,2016,10,100,Синий,1
6,Июль,2011,15,225,Синий,0
24,Май,2017,10,100,Синий,1
2,Июль,2012,7,49,Синий,0
4,Январь,2016,3,9,Желтый,0
4,Январь,2017,6,36,Желтый,1
5,Июнь,2017,5,25,Синий,0
8,Июнь,2011,12,144,Синий,1
17,Июль,2012,13,169,Синий,0
8,Июль,2012,8,64,Синий,1
12,Июнь,2010,9,81,Синий,0
4,Май,2011,5,25,Синий,0
6,Январь,2017,5,25,Желтый,0
15,Июнь,2010,15,225,Синий,0
22,Май,2012,11,121,Синий,0
23,Май,2010,9,81,Синий,0
10,Январь,2012,10,100,Желтый,1
10,Август,2016,16,256,Синий,1
16,Январь,2011,4,16,Желтый,1
15,Июль,2016,13,169,Синий,0
25,Январь,2017,11,121,Желтый,0
23,Май,2016,17,289,Синий,0
7,Июнь,2017,2,4,Синий,1
17,Январь,2011,14,196,Желтый,1
1,Май,2016,5,25,Синий,0
23,Июнь,2011,12,144,Синий,1
8,Август,2012,7,49,Синий,0
16,Июль,2011,16,256,Синий,1
26,Январь,2017,10,100,Желтый,1
21,Июнь,2016,15,225,Синий,0
12,Июль,2010,4,16,Синий,1
23,Июль,2012,5,25,Синий,0
3,Май,2010,3,9,Синий,0
25,Август,2016,3,9,Синий,0
16,Январь,2012,6,36,Желтый,1
19,Июнь,2011,16,256,Синий,1
25,Август,2011,17,289,Синий,0
21,Январь,2016,12,144,Желтый,1
2,Май,2012,9,81,Синий,0
11,Январь,2010,3,9,Желтый,0
26,Май,2012,2,4,Синий,1
11,Июль,2011,6,36,Синий,1
16,Май,2017,6,36,Синий,1
7,Январь,2012,16,256,Желтый,1
19,Июль,2017,17,289,Синий,0
23,Август,2011,14,196,Синий,1
2,Май,2011,10,100,Синий,1
22,Январь,2016,4,16,Желтый,1
7,Июнь,2011,3,9,Синий,0
24,Июнь,2010,2,4,Синий,1
11,Май,2016,12,144,Синий,1
19,Июль,2010,9,81,Синий,0
23,Май,2016,15,225,Синий,0
19,Май,2017,6,36,Синий,1
8,Январь,2017,6,36,Желтый,1
14,Май,2017,17,289,Синий,0
26,Июль,2012,2,4,Синий,1
22,Июнь,2017,11,121,Синий,0
15,Июль,2010,15,225,Синий,0
27,Январь,2011,12,144,Желтый,1
8,Июль,2012,16,256,Синий,1
1,Январь,2017,15,225,Желтый,0
21,Июнь,2011,13,169,Синий,0
16,Июнь,2010,2,4,Синий,1
1,Январь,2011,5,25,Желтый,0
20,Январь,2011,3,9,Желтый,0
24,Август,2010,16,256,Синий,1
22,Август,2017,17,289,Синий,0
6,Август,2010,3,9,Синий,0
7,Август,2010,4,16,Синий,1
5,Январь,2010,13,169,Желтый,0
1,Август,2012,3,9,Синий,0
15,Январь,2011,5,25,Желтый,0
22,Июнь,2016,3,9,Синий,0
1,Июль,2010,3,9,Синий,0
28,Июль,2016,11,121,Синий,0
3,Май,2010,6,36,Синий,1
8,Август,2016,2,4,Синий,1
8,Январь,2012,4,16,Желтый,1
27,Август,2011,5,25,Синий,0
23,Август,2010,12,144,Синий,1
20,Май,2012,17,289,Синий,0
13,Май,2012,5,25,Синий,0
18,Январь,2012,9,81,Желтый,0
11,Август,2010,2,4,Синий,1
27,Август,2012,6,36,Синий,1
19,Июнь,2016,3,9,Синий,0
26,Июнь,2017,17,289,Синий,0
28,Август,2011,15,225,Синий,0
13,Июнь,2016,2,4,Синий,1
24,Май,2016,10,100,Синий,1
3,Май,2017,7,49,Синий,0
27,Июль,2017,7,49,Синий,0
25,Июль,2011,5,25,Синий,0
17,Июль,2016,4,16,Синий,1
5,Май,2016,9,81,Синий,0
10,Август,2017,13,169,Синий,0
18,Январь,2016,12,144,Желтый,1
8,Январь,2016,5,25,Желтый,0
